,Question,Answer
99,Can you solve sudoko puzzles?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
100,Have you ever played conkers?,I have not.
101,Whats the most unusual conversation you've ever had?,I don't know what you're talking about.
102,Are you much of a daredevil?,"No, he's not."
103,Are you a good liar?,I'm not a good liar.
104,Are you a good judge of character?,I'm not a good judge.
105,How long could you go without talking?,I don't think I've ever had a problem with that.
106,What has been your worst haircut/style?,I don't know why you're being down voted.
107,Can you iceskate?,Can't wait to see what happens.
108,Can you summersault?,Can't wait to see what happens.
109,Whats been your best present?,It's been a while since I've seen it.
110,Whats been your worst present?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing."
111,Have you ever sleepwalked?,I have not.
112,Can you build a house of cards?,"No, I can build a house of cards."
113,Can you play poker?,Can you play poker?
114,If your parents hated your partner you currently loved would you ditch him or carry on with him despite the protests?,"I don't know why you're being downvoted, but I don't think that's true."
115,Have you ever been professionally photographed?,I have not.
116,Have you ever baked your own cake?,I have not.
117,What traditionally adorns the top of your christmas tree?,That's what I was thinking.
118,What would be your dream sandwich?,I don't know what you're talking about.
119,Can you do any accents other than your own?,I don't know why you're being down voted.
120,Do you have a strong local accent?,I don't have a strong accent.
121,In O's and X's which do you normally pick?,I don't know why you're being down voted.
122,Do you prefer green or red grapes?,I prefer green grapes.
123,What do you like on your toast?,What do you like on toast?
124,Do you prefer liquid soap or bars of soap?,I prefer liquid soap.
125,How do you have your eggs?,How do you have eggs?
126,Have you ever been in a tug of war?,I have not.
127,and did you win?,I'm sure he did.
128,Can you stand on your hands unassisted?,I can't stand your hands on your hands.
129,Do you love or hate myspace?,I don't know why you're being down voted.
130,Who was the last person to knock/ring at your door?,That's what I was thinking.
131,How old were you when you last went trick or treating?,"I'm 22, so I'm not sure if I'm old enough to do that."
132,Have you ever been bobbing for apples?,I have not.
133,Whats your most expensive piece of clothing?,"I don't know what you're talking about, but I don't know what you're talking about."
134,Have you ever bought anything from ebay?,"I have not, but I'm not sure if it's worth it."
135,Whats your favourite smell/scent?,I've never heard of that one.
136,Can you blow bubbles with bubblegum?,That's what I was thinking.
137,What was your favourite birthday?,"I've never heard of it, but I've never heard of it."
138,Can you curl your tounge?,I can't.
139,What would be your dream car?,That's what I was thinking.
140,Are you left or right handed?,I'm right handed.
141,Have you ever owned a yo-yo?,I have not.
142,Have you ever been on a pogo stick?,No I haven't.
143,Have you ever been on a space hopper?,I've never been on a space hopper.
144,Have you ever accidentally injured anyone?,I've never heard of that.
145,Are you scared of spiders?,I'm not scared of spiders.
146,Can you down a pint (of anything) in one?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
147,Have you ever been banned from a public place?,I've never been banned from a public place.
148,How much spam email do you tend to get a week?,I don't think I've ever gotten a week.
149,If you could learn any language fluently what would it be?,That's what I was thinking.
150,What historical Figure would you love to see in 21st centuary life?,That's what I was thinking.
151,As a kid were you ever frighted of a monster under the bed or in the cupboard?,I'm not sure if you're being sarcastic or not.
152,Do you like clowns?,I don't like clowns.
153,Do you prefer BBC or ITV?,ITV.
154,Have you ever been surfing?,No I haven't.
155,Have you ever been snowboarding?,"No, I have not."
156,"Who was better, the Beatles or Elvis Presley?",The Beatles.
157,Do you like your music loud or easy listening?,I like you.
158,Do you sing in the shower?,Yes.
159,Are you a clean or messy person?,"I'm not a clean person, but I'm not a clean person."
160,Can you play chess?,Can you play chess?
161,Do you know the dance steps to an annoying cheesey pop song?,I don't know what you're talking about.
162,Do you prefer straight or bendy straws?,I don't think so.
163,Have you ever entered a talent contest?,"I have not, but I'm not sure if that's a good thing."
164,and did you win?,I'm sure he did.
165,Do you like poetry?,I love poetry.
166,Are you a bad loser?,I'm not a bad loser.
167,Whats your most used phrase?,I don't know what you're talking about.
168,Whats your most used word?,My most used word.
169,What would your dream job be?,I don't know what you're talking about.
170,How long does it take you to get ready?,Depends on how long it takes you to get ready.
171,What do you think the greatest invention has been?,The greatest invention ever.
172,Whats your favourite feature on the opposite sex?,I don't know what you're talking about.
173,Whats your least favourite feature on the opposite sex?,I don't know what you're talking about.
174,Who would win in a fight? Chuck Norris or Jack Bauer?,I'm sure he would win.
175,Do you have much of an ego?,I don't have an ego.
176,Do you wear sunglasses indoors to look cool or stylish?,I don't wear glasses.
177,Are you a hat person?,I don't think so.
178,Whats your first thought upon waking up?,My first thought.
179,What animal would you most like to have as a pet?,I don't know what you're talking about.
180,If you could bankrupt one person or company who would it be?,That's what I was thinking.
181,If you could steal one thing without consequence what would it be?,That's what I was thinking.
182,Who's your favourite celeb with the same first name or surname as you?,His name is Robert Paulson.
183,If evil-doers invaded your country would you rush to the battlelines to defend the motherland or hide in a box?,I don't think so.
184,Do you believe in ghosts?,I believe in you.
185,Do you believe in the loch ness monster?,"No, I believe in you."
186,Do you believe in Aliens?,Yes.
187,Do you believe the Governments hide technology and information from the public?,I believe that's what it's called.
188,What horror fiction character scares you the most?,I don't think that's what you're referring to.
189,Do you think Great Britain should have a National Day?,I don't think so.
190,Do you think Great Britain should be part of a United Europe?,I don't think so.
191,Would you want the Euro or keep the British Pound?,"I'm not sure, but I'm not sure if that's true or not."
192,Have you ever invented a fairly unique meal or drink?,I have not.
193,Are you good at keeping secrets?,I'm pretty good at keeping secrets.
194,Have you ever been up in a hot air balloon?,I have not.
195,Whats your favourite Sci-fi film/program etc?,I'm pretty sure that's what it's called.
196,When playing checkers or chess do you prefer to be black or white?,I don't want to be black or white.
197,Do you prefer shopping on the high street or online?,I prefer shopping on the high street.
198,Would you ever want to learn to fly?,I don't want to learn to fly.
199,Do you often read your horoscope?,I don't know what you're talking about.
200,Have you ever had a proper Tarot reading?,I have not.
201,Have you ever milked a cow?,I have not.
202,"Have you ever used the phrase ""back in my time"" to someone younger than you?",I've never heard of that.
203,Do you love or hate rollercoasters?,I don't know why you're being down voted.
204,Do you buy any weekly/monthly magazines?,"I'm not sure if you're joking, but I don't think it's worth it."
205,Who's your favourite Superhero?,I'm pretty sure that's what I was thinking.
206,When pulling crackers does everyone get one each regardless or whoever gets the big ends keeps all the prizes,"I don't know why you're being downvoted, but I'm not saying it's a good thing."
207,Do you ever make your own greetings cards,"I don't know what you're talking about, but I don't know what you're talking about."
208,Do you have a swiss army knife?,Yes.
209,At what age did you twig onto the fact Santa wasnt real?,2015
210,"Have you ever done something really unbelivable, only to have no one around to see it?","I've never done it, but I've never done it before."
211,Do you buy from charity shops?,I don't think I've ever heard of that.
212,Have you ever sold your services?,I have not.
213,Have you ever raised money for charity?,I have not.
214,Have you ever won a giant sized cuddly toy from a fair?,I have not.
215,Is the glass half full or half empty?,It's the glass half full.
216,Is the grass greener on the other side?,Yes.
217,If a tree falls in the forest and there's no one around to hear it does it make a noise?,That's what I was thinking.
218,Why does it always rain on me?,Because it's raining on me.
219,Have you ever sailed a boat?,"No, I have not."
220,Do you love or loathe Harry Potter?,I don't know what you're talking about.
221,Do you do your utmost for the environment?,I do.
222,Have you ever weilded a sword?,I have not.
223,If you were famous would you want a statue or a building names after you?,That's what I was thinking.
224,"If you were in a band, what instrument/role would you play?",What instruments?
225,Can you erect a tent?,I can't.
226,Do you suck or bite lollipops?,I don't know what you're talking about.
227,Have you ever used the yellow pages?,I have not.
228,Do you still have any music on vinyl or casettes?,I don't know what you're talking about.
229,Approximately how many DVD's do you have?,I've never heard of that one.
230,Do you talk to yourself?,I don't talk to myself.
231,Do you sing to yourself?,Yes.
232,Do you know any identical twins?,Yes.
233,Have you ever given blood?,I've never given blood.
234,Could you ever be a medical guineapig?,That's what I was thinking.
235,Have you ever written a love letter?,I've never written a letter.
236,How many valentines cards did you recieve this/last year?,1000000000000000000000000000
237,Have you ever made your own ice lollies?,"No, I have not."
238,Have you ever made your own Ice cream?,I have not.
239,and do you still remember enough to hold a conversation in that language?,That's what I was thinking.
240,Do you know CPR?,Yes.
241,Do you prefer digital or rotary/analogue clocks?,I don't know what you're talking about.
242,How tall is the tallest person you know?,He's taller than Tess Munster.
243,Have you ever got lost in a maze?,I have not.
244,Have you ever been attacked by a wild animal?,I have not.
245,Have you ever ridden a camel?,I've never ridden a camel.
246,Have you ever been to a gym?,I have not.
247,Have you ever been in a helicopter?,"No, I have not."
248,Have you ever cheated at a test?,I have not.
249,Have you ever ridden a tractor?,"No, I have not."
250,Have you ever cried at a film?,I haven't.
251,When you're ill do you struggle on regardless or just curl up in bed as much as possible?,"I don't know what you're talking about, but I don't know what you're talking about."
252,Do you keep a diary/journal?,I don't know what you're talking about.
253,Are you scared of thunderstorms?,I'm afraid of rain.
254,Do you have any unusual fears or phobias?,I don't think I've ever heard of that.
255,Have you ever slept in a caravan?,I have not.
256,Have you ever painted a house?,"No, I've never done that."
257,Have you got green fingers?,I have not.
258,Have you ever dialed the talking clock?,I have not.
259,Do you always wear identical socks?,Yes.
260,Do you live by any motto or philosophy?,I don't think so.
261,Do you lick the yoghurt or desert lid?,I don't know what you're talking about.
262,Do you lick the spoon clean after making something sweet?,Yes.
263,Do you like the sound of music? (the musical/film),I like the sound of it.
264,Have you ever made your own orangejuice?,No I have not.
265,Have you ever sucked on a lemon?,I have not.
266,Have you ever licked a battery?,I have not.
267,Are you a good aim with a rubber band?,I don't know why you're being down voted.
268,Have you ever played golf?,I have not.
269,Whats the most unusual name you've ever come across?,I've never heard of it.
270,Do you prefer to wash in the mornings or evenings?,I don't want to wash in the mornings.
271,Have you ever danced in the rain?,That's what I was thinking.
272,Do you like long or short hair?,I like long hair.
273,Have you ever sworn at an authority figure?,No I have not.
274,Have you ever walked into a wall?,I have not.
275,Could you ever hunt your own meal?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
276,Have you ever read any comics?,I haven't.
277,Do you prefer vertical or horizontal stripes?,I prefer vertical stripes.
278,Have you ever baked your own bread?,I have not.
279,Can you believe I can't believe its not butter is in fact not actually butter?,"It's not butter, it's butter."
280,Can you name all 50 American states?,"Not sure if you're joking, but I'm not sure if you're being sarcastic or not."
281,Have you ever owned a goldfish?,I have not.
282,What was your favourite school subject?,I'm pretty sure that's what you're referring to.
283,What was your least favourite school subject?,It was my least favorite.
284,Have you ever passed wind in an embarassing situation?,"No, I'm not."
285,Have you ever played the bongos?,I have not.
286,Have you ever handled a snake?,I have not.
287,Have you ever assembled furniture by yourself?,"No, I have not."
288,When did you last go to the beach?,I'm not going to go to the beach.
289,When if ever did you last go to london?,"I'm not going to go to London, but I'm not going to go to London."
290,Whats the most unusual thing you've ever eaten?,It's the most unusual thing I've ever eaten.
291,Do you know any self defence or martial arts?,I don't know what you're talking about.
292,Have you ever ridden a motorcycle?,I've never ridden a motorcycle.
293,Do you collect anything?,No I don't.
294,Is there anything you wished would come back into fashion?,I don't think so.
295,Have you ever given someone a handmade present?,"No, I have not."
296,Are you introvert or extrovert?,I'm an introvert.
297,If you could have any feature from an animal what would you want?,That's what I was thinking.
298,Have you ever been scuba diving?,I have not.
299,Have you ever had a disasterous interview?,I have not.
300,Which of the 5 senses would you say is your strongest?,That's what I was thinking.
301,What colour are your eyes?,"I'm not sure what color blindness is, but I don't know what color it is."
302,Have you ever been to an Art gallery?,I have not.
303,Are you a valuable asset on a Pub Quiz team?,"No, I'm not a valuable asset."
304,Have you ever won any kind of quiz yourself?,I don't think I've ever done that.
305,Do you get over-involved with TV or movie plots at times?,I don't think that's what you're talking about.
306,Do you own any inflatable furniture?,"No, I don't own any furniture."
307,Whats the highest hill or mountain you've ever climbed?,I've never heard of that.
308,Do you have a piggy bank?,No I don't.
309,Whats the fastest you've ever travelled in a car?,"I don't know what you're talking about, but I've never been in a car."
310,Do you have popcorn with a movie?,I don't think so.
311,Have you ever built an igloo?,I have not.
312,Have you ever made a ball of twine or rubberbands?,I have not.
313,If given the option of having a flake in your ice cream do you always take it?,I'll take it.
314,Could you ever be a living organ donor?,That's what I was thinking.
315,"Which was your favourite science? Biology, Physics or Chemistry?",Physics.
316,Could you ever go out with someone just cause they're rich?,That's what I was thinking.
317,Have you ever contemplated sueing someone?,I have not.
318,Are you pretty devious?,I'm pretty sure that's what I was thinking.
319,Have you ever had a surprise party? (that was an actual surprise),I've never had a surprise party party party party.
320,Are you any good at giving massages?,I don't know what you're talking about.
321,Whats been your worst date ever?,I don't know what you're talking about.
322,Have you ever slapped somoene in public?,I have not.
323,Have you ever drawn on a sleeping or inebriated person?,"I've been on a bed for a while, but I'm not sure if I've ever done that."
324,Have you ever warn clothing with the labels/tags still attached?,I don't know why you're being down voted.
325,Have you ever slipped on a banana skin?,I have not.
326,Are you scared of the dark?,"No, I'm scared."
327,Have you ever been wolf whistled in public?,I have not.
328,Whats the worst chatup line you've heard?,"I don't know why you're being downvoted, it's a joke."
329,Have you ever been water skiing?,"No, I have not."
330,Have you ever hopelessly failed a test?,I've never done a test test.
331,"If you had a year off, what would you want to do?",I'd rather have a year off.
332,How many sms/txt messages do you recieve on average a day?,"I don't know what you're talking about, but I'm not sure if you're being sarcastic or not."
333,How long did you last phone call last?,It's been a while since I've had a phone call.
334,Do you go to car boot sales?,No I don't think I've ever done that.
335,"If you saw someone drop a Â£10 note, would you claim it for your own or try to return it to them?","I'm not sure if you're being sarcastic or not, but I don't think it's worth it."
336,Have you ever helped someone across the road?,"No, I have not."
337,Have you ever been horseriding?,I have not.
338,Have you ever walked a tightrope?,No I have not.
339,Have you ever demolished a wall or building?,I have not.
340,If you and a friend both wanted the same thing would you let the friend get it first?,"I'm not a friend, but I don't think it's possible to get it first."
341,Have you ever argued over who should pay for something?,"No, I have not."
342,Do you have any family heirlooms?,No I don't.
343,Are you related or distantly related to anyone famous?,I don't know why you're being down voted.
344,Do you correct peoples mistakes?,No I don't.
345,Have you ever helped out an injured animal?,I've never heard of that.
346,Do you throw bread for the ducks?,Yes.
347,Do you think babies are little bundles of joy or smelly noisey things?,I don't think so.
348,Do you give money to buskers?,"No, I don't give money."
349,Have you ever tossed your own pancake?,I have not.
350,Are you any good at egg and spoon races?,I don't know what you're talking about.
351,Are you allergic to anything?,"No, I'm not allergic to anything."
352,Are you ticklish?,No I'm not.
353,"Do you prefer tea,coffee or cocoa?",I prefer tea.
354,Do you buy people presents to bring back when you go on holiday?,I don't think I've ever heard of that.
355,Are you tired of answering questions yet?,I don't know what you're talking about.
356,Have you ever been wheelbarrow racing?,I haven't ridden in a long time.
357,Do you ever forward or reply to chain mails?,I don't know why you're being down voted.
358,Do you often have a tune in your head you can't name?,I don't know what you're talking about.
359,Has anyone ever approached you thinking you were someone else?,I've never met anyone else.
360,Have you ever been approached by someone who knew you but you couldn't remember them for the life of you?,That's what I was thinking.
361,What do you do to keep fit?,"I don't know what to do, but I don't know what to do."
362,Are you the sort to step in and try to break up a fight?,I don't think I've ever tried to break up a fight.
363,Have you ever been in a fight?,I have not.
364,Have you ever started a rumour?,I have not.
365,Have you ever heard any outstanding rumours about yourself?,I've never heard of that.
366,Have you ever been in or had a food fight?,I've never had a food fight.
367,When its your birthday do you always wear an age badge?,"I don't know why you're being downvoted, but I'm not sure if it's true or not."
368,Have you ever starred in an amateur or professional video?,I have not.
369,If you were comfortbly rich would you work hard for more or rest on your laurels?,If I were rich I would work hard for you.
370,Have you ever been in a position of authority?,I have not.
371,Have you ever tried to make your own alcohol?,That's what I was thinking.
372,And what title would you give yourself?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing."
373,If you invented a monster what would you call it?,I'd call it a monster.
374,And what features would it have?,That's what I was thinking.
375,Have you ever had a dream you chased only to be let down when you achived it?,I've never had a dream.
376,Is there anything about the opposite sex you just don't understand or comprehend?,I don't understand what you're saying.
377,Who was your favourite teacher at school and why?,I'm pretty sure that's what you're referring to.
378,Is it acceptable or unacceptable to smack a child as form of disapline?,Yes.
379,Can a hetrosexual male ever wear pink?,Can confirm.
380,Is it criminal to wear socks with sandals?,Yes.
381,"If you were captain of a ship, what would you call it?",I am captain of the ship.
382,If you were to join an emergency service which would it be?,That's what I was thinking.
383,If you were to join one of the armed forced which would it be?,That's what I was thinking.
384,Whats the worst thing about being your gender?,"I don't know what you're talking about, but I'm not the only one."
385,Whats the best thing about being your gender?,I don't know what you're talking about.
386,If you swapped genders for a day how would you spend it?,That's what I was thinking.
387,If you were exiled what country would you choose as your new home?,I'm not sure if you're being sarcastic or not.
388,Have you ever made someone cry?,No I'm not.
389,Have you ever starred in a school play?,I have not.
390,Were you a member of any celebrity fanclub?,That's what I was thinking.
391,Have you ever been a member of any other club?,No I haven't.
392,If you could have a full scholarship to any university what would you choose to study?,That's what I was thinking.
393,Whats been your greatest ever day?,It's been a while since I've seen it.
394,What historical period would you like to live in if you could go back in time?,That's what I was thinking. I've never heard of that before.
395,What would you bring along to an idillic picnic?,That's what I was thinking.
396,What movie ending really frustrated you? And how would you change it?,"I don't think it's a good ending, but it's a good movie."
397,What three things do you think of most each day?,I don't know what you're talking about.
398,What do you call your evening meal? Dinner Tea or Supper?,"I don't know why you're being down voted, it's a good idea."
399,"If you had a warning label, what would yours say?",I don't know what you're talking about.
400,Have you ever got sweet revenge on anyone?,"No, I'm not."
401,Have you ever been to a live concert?,I have not.
402,Have you ever been to see stand up comedy?,I've never seen it.
403,Have you ever needed stitches?,I have not.
404,If you could invent brand new baby names what would they be?,That's what I was thinking.
405,"If you were a fashion designer, what style of clothing or accessories would you design?","I'm not a graphic designer, but I don't think that's what you're looking for."
406,Do you ever laugh at things you shouldn't?,No I don't.
407,Have you ever been in a submarine?,I have not.
408,Have you ever walked out of a cinema before the film was done?,"I haven't, but I've never seen that movie before."
409,What song would you say best sums you up?,I don't know what you're talking about.
410,Do you have any old friends wou wish you could meet up with again?,"I don't know, but I'm not sure if that's true or not."
411,Do you prefer metric or imperial measurements?,I prefer imperial.
412,Who's your favourite monarch of all time?,I'm not sure if you're being sarcastic or not.
413,If you could choose one celebrity to be the father/mother of your child who would it be?,That's what I was thinking.
414,What would you do if someone proposed to you tomorrow?,I'll PM you.
415,How high can you jump?,I don't know why you're being down voted.
416,Which fictional character do you wish was real?,I don't know why you're being down voted.
417,Who was your first crush?,My first crush.
418,"Do you believe in destiny, fate or free will?",I don't believe in you.
419,If you could talk to one species of animal which would it be?,That's what I was thinking.
420,If you had friends round what DVD's would you have to watch?,That's what I was thinking.
421,Do you like vanilla or chocolate?,I don't like chocolate.
422,Do you have any enemies?,No I don't.
423,Are you scared of needles?,I'm not scared of needles.
424,How many piercings do you have? if any,"I'm not a huge fan of them, but I've never heard of them."
425,Have you ever got majorly lost trying to get somewhere?,I've never heard of that.
426,How fast can you say the alphabet?,That's what I was thinking.
427,What was the last thing to make you feel happy?,"I don't know what you're talking about, but I'm not happy with it."
428,What was the last thing to make you feel angry?,That's what I was thinking.
429,You are walking to work. There is a dog drowning in the canal on the side of the street. Your boss told you if you are late one more time you're fired. Do you save the dog?,I don't know why you're being down voted.
430,Are you the kind of friend you'd want to have as a friend yourself?,"I'm not your friend, friend."
431,Do you have any questions or queries about things you're just to scared or embarassed to ask anyone about?,"I don't have any questions, but I'm sure I'll do it."
432,If you were a wrestler what would your stage name be?,That's what I was thinking.
433,Do you think Barbie is a negative role model for young girls?,I don't think so.
434,Have you ever needed an eye test?,I have not.
435,Can you roll your R's?,You can't roll your R's.
436,What social class do you consider yourself or your family background to be in?,"I don't know, I'm a social class."
437,Whats the largest amount of money you've ever won?,It's the largest amount of money I've ever won.
438,Whats the largest amount of money you've spent in one spree?,It's the largest amount of money I've spent in my life.
439,Whats the largest amount of money you've had to borrow off of a friend or family member,"I'm not sure if you're being sarcastic or not, but I'm not sure if that's true or not."
440,Have you ever been on a cable car?,I have not.
441,Do you prefer Honey or Jam?,"I don't know what you're talking about, but I've never heard of it."
442,Do you prefer the French or Germans?,I prefer the French.
443,How fast can you get changed?,"I don't know why you're being down voted, I'm just saying it's a good idea."
444,How fast do you type?,I don't know how fast it is.
445,How fast can you run?,"I've been running around for a long time now, so I'm not sure if I'll be able to do it again."
446,"Which is better, Mario or Sonic?",I'm pretty sure that's what he meant.
447,"Which would you rather have if you had to, a broken leg or a broken arm?",I'd rather have a broken leg than a broken leg.
448,Do you read a daily newspaper?,I don't think I read a daily newspaper.
449,Do you watch the news on TV?,I don't know why you're being down voted.
450,Have you ever had anything published?,I have not.
451,Do you believe in love at first sight?,I believe in you.
452,How many remote controls do you have in your house?,"I don't know, but I'm not sure if that's what you're referring to."
453,Have you ever been in a hot tub or sauna?,I have not.
454,Have you ever had chicken pox?,I've never had chicken pox.
455,Do you own a lava lamp?,Yes.
456,Are you glad these are almost over?,I'm pretty sure they are.
457,Whats been the best descision you've made in your life so far?,It's been a while since I've done it.
458,Whats been the worst descision you've made in your life so far?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing, it's just a matter of time."
459,What words do you always struggle to spell correctly?,I don't know how to spell correctly.
460,On a scale of 1-10 how happy would you say you are?,I'm pretty sure that's what he meant.
461,On a scale of 1-10 how smart would you say you are?,I'm not a smart man.
462,On a scale of 1-10 how funny would you say you are?,I'm pretty sure that's the joke.
463,On a scale of 1-10 how devious would you say you are?,That's what I was thinking.
464,On a scale of 1-10 how awesome would you say you are?,I'm pretty sure that's what you're referring to.
465,On a scale of 1-10 how devilsh would you say you are?,That's what I was thinking.
466,On a scale of 1-10 how nice/caring would you say you are?,"I don't know what you're talking about, but I'm pretty sure that's what I'm saying."
467,On a scale of 1-10 how bitchy would you say you are?,I don't think that's bitchy.
468,On a scale of 1-10 how polite would you say you are?,I'm pretty sure that's what he meant.
469,On a scale of 1-10 how attractive would you say you are?,I don't think that's true.
470,If you could be any famous person who would you be and why?,I'd be happy if I could.
471,Whats your favourite musical instrument beginning with the letter H?,"I don't know what you're talking about, but I'm pretty sure it's a good thing."
472,Whats your favourite song beginning with the letter I?,I'm pretty sure it's a good song.
473,Whats your favourite actress beginning with the letter J?,I don't know why you're being down voted.
474,Whats your favourite non alcoholic drink beginning with the letter O?,That's what I was thinking.
475,Whats your favourite band beginning with the letter Q?,I don't know why you're being down voted.
476,Whats your favourite author beginning with the letter R?,I don't know why you're being down voted. It's a good read.
477,Whats your favourite job beginning with the letter T?,I don't know what you're talking about.
478,Whats your favourite alcoholic drink beginning with the letter V?,"I don't know what you're talking about, but I'm pretty sure that's what it's called."
479,Whats your favourite word beginning with the letter X?,That's what I was thinking.
480,Do you get seasick?,I don't get it.
481,If you discovered a new species of dinosaur what would you call it?,I don't know what you're talking about.
482,What do you consider is the most important piece of furniture in a house?,It's the most important piece of furniture I've ever seen.
483,If you could have any celebritys hair whos would it be?,"I'm not sure if you're being sarcastic or not, but I don't think that's true."
484,What potential talents do you think you might have if you worked at them?,I don't think I would have worked at them.
485,If you could be trained up in any profession of your choice by top professionals what profession would you choose?,That's what I was thinking. I'm not sure if that's true or not.
486,If someone elses child was being an annoying little runt would you go tell them off or do something about it?,"I don't know why you're being down voted, it's just a matter of time."
487,Do you believe in kharma?,I believe in you.
488,Do you believe in revenge?,I believe in you.
