,Question,Answer
95,How many Pillows do you sleep with?,"10,000,000,000,000,000,000,000,0"
96,What position do you often sleep in?,I don't sleep in my sleep.
97,What do you wear to bed?,I don't know why you're being down voted.
98,How big is your house?,"It's not a big house, it's a big house."
100,What do you typically have for breakfast?,"I don't know what you're talking about, but I don't know what you're talking about."
101,Do you like scary movies?,Yes.
103,Have you ever been in a newspaper?,I have not.
104,How long can you balance on one foot?,I think it's about 2 - 3 hours a week.
105,Have you ever fired a gun?,No I have not.
106,Have you ever tried archery?,I haven't.
115,Do you have any scars?,I don't have any scars.
117,Did you ever win any sportsday events?,I did.
118,What did you want to be when you grew up?,I don't know why you're being down voted.
119,If you could change anything about yourself what would it be?,That's what I was thinking.
120,Whats the longest you've ever grown your hair?,I don't know why you're being down voted. It's a long time ago.
121,Are you scared of flying?,I'm not scared of flying.
123,Have you ever tie-dyed your own clothes?,That's what I was thinking.
124,How often do you buy new clothes?,I don't buy new clothes.
125,Are you reliable?,I'm pretty sure that's what he meant.
126,Are you proud of yourself?,I'm proud of myself.
127,Have you ever had a secret admirer,I have not.
129,Do you hold grudges?,No I don't.
130,If you could breed two animals together to defy the laws of nature what new animal would you create?,"That's what I was thinking, but I'm not sure if that's what you're referring to."
131,Do you decorate the outside of your house for christmas?,"No, I don't know what you're talking about."
132,Can you solve sudoko puzzles?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
133,Have you ever played conkers?,I have not.
134,Whats the most unusual conversation you've ever had?,I don't know what you're talking about.
136,Are you much of a daredevil?,"No, he's not."
137,Are you a good liar?,I'm not a good liar.
138,Are you a good judge of character?,I'm not a good judge.
140,How long could you go without talking?,I don't think I've ever had a problem with that.
141,What has been your worst haircut/style?,I don't know why you're being down voted.
142,Can you iceskate?,Can't wait to see what happens.
143,Can you summersault?,Can't wait to see what happens.
145,Whats been your best present?,It's been a while since I've seen it.
146,Whats been your worst present?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing."
147,Have you ever sleepwalked?,I have not.
148,Can you build a house of cards?,"No, I can build a house of cards."
150,Can you play poker?,Can you play poker?
151,If your parents hated your partner you currently loved would you ditch him or carry on with him despite the protests?,"I don't know why you're being downvoted, but I don't think that's true."
152,Have you ever been professionally photographed?,I have not.
153,Have you ever baked your own cake?,I have not.
155,What traditionally adorns the top of your christmas tree?,That's what I was thinking.
156,What would be your dream sandwich?,I don't know what you're talking about.
158,Can you do any accents other than your own?,I don't know why you're being down voted.
159,Do you have a strong local accent?,I don't have a strong accent.
161,In O's and X's which do you normally pick?,I don't know why you're being down voted.
165,Do you prefer green or red grapes?,I prefer green grapes.
166,What do you like on your toast?,What do you like on toast?
167,Do you prefer liquid soap or bars of soap?,I prefer liquid soap.
168,How do you have your eggs?,How do you have eggs?
170,Have you ever been in a tug of war?,I have not.
171,and did you win?,I'm sure he did.
172,Can you stand on your hands unassisted?,I can't stand your hands on your hands.
174,Do you love or hate myspace?,I don't know why you're being down voted.
175,Who was the last person to knock/ring at your door?,That's what I was thinking.
176,How old were you when you last went trick or treating?,"I'm 22, so I'm not sure if I'm old enough to do that."
177,Have you ever been bobbing for apples?,I have not.
178,Whats your most expensive piece of clothing?,"I don't know what you're talking about, but I don't know what you're talking about."
181,Have you ever bought anything from ebay?,"I have not, but I'm not sure if it's worth it."
182,Whats your favourite smell/scent?,I've never heard of that one.
183,Can you blow bubbles with bubblegum?,That's what I was thinking.
184,What was your favourite birthday?,"I've never heard of it, but I've never heard of it."
185,Can you curl your tounge?,I can't.
187,What would be your dream car?,That's what I was thinking.
188,Are you left or right handed?,I'm right handed.
191,Have you ever owned a yo-yo?,I have not.
192,Have you ever been on a pogo stick?,No I haven't.
193,Have you ever been on a space hopper?,I've never been on a space hopper.
195,Have you ever accidentally injured anyone?,I've never heard of that.
196,Are you scared of spiders?,I'm not scared of spiders.
197,Can you down a pint (of anything) in one?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
198,Have you ever been banned from a public place?,I've never been banned from a public place.
199,How much spam email do you tend to get a week?,I don't think I've ever gotten a week.
200,If you could learn any language fluently what would it be?,That's what I was thinking.
201,What historical Figure would you love to see in 21st centuary life?,That's what I was thinking.
202,As a kid were you ever frighted of a monster under the bed or in the cupboard?,I'm not sure if you're being sarcastic or not.
203,Do you like clowns?,I don't like clowns.
204,Do you prefer BBC or ITV?,ITV.
205,Have you ever been surfing?,No I haven't.
206,Have you ever been snowboarding?,"No, I have not."
207,"Who was better, the Beatles or Elvis Presley?",The Beatles.
210,Do you like your music loud or easy listening?,I like you.
212,Do you sing in the shower?,Yes.
213,Are you a clean or messy person?,"I'm not a clean person, but I'm not a clean person."
216,Can you play chess?,Can you play chess?
217,Do you know the dance steps to an annoying cheesey pop song?,I don't know what you're talking about.
218,Do you prefer straight or bendy straws?,I don't think so.
219,Have you ever entered a talent contest?,"I have not, but I'm not sure if that's a good thing."
220,and did you win?,I'm sure he did.
221,Do you like poetry?,I love poetry.
222,Are you a bad loser?,I'm not a bad loser.
225,Whats your most used phrase?,I don't know what you're talking about.
226,Whats your most used word?,My most used word.
228,What would your dream job be?,I don't know what you're talking about.
230,How long does it take you to get ready?,Depends on how long it takes you to get ready.
231,What do you think the greatest invention has been?,The greatest invention ever.
232,Whats your favourite feature on the opposite sex?,I don't know what you're talking about.
233,Whats your least favourite feature on the opposite sex?,I don't know what you're talking about.
239,Who would win in a fight? Chuck Norris or Jack Bauer?,I'm sure he would win.
240,Do you have much of an ego?,I don't have an ego.
241,Do you wear sunglasses indoors to look cool or stylish?,I don't wear glasses.
242,Are you a hat person?,I don't think so.
245,Whats your first thought upon waking up?,My first thought.
246,What animal would you most like to have as a pet?,I don't know what you're talking about.
248,If you could bankrupt one person or company who would it be?,That's what I was thinking.
249,If you could steal one thing without consequence what would it be?,That's what I was thinking.
250,Who's your favourite celeb with the same first name or surname as you?,His name is Robert Paulson.
251,If evil-doers invaded your country would you rush to the battlelines to defend the motherland or hide in a box?,I don't think so.
253,Do you believe in ghosts?,I believe in you.
254,Do you believe in the loch ness monster?,"No, I believe in you."
255,Do you believe in Aliens?,Yes.
256,Do you believe the Governments hide technology and information from the public?,I believe that's what it's called.
258,What horror fiction character scares you the most?,I don't think that's what you're referring to.
260,Do you think Great Britain should have a National Day?,I don't think so.
261,Do you think Great Britain should be part of a United Europe?,I don't think so.
262,Would you want the Euro or keep the British Pound?,"I'm not sure, but I'm not sure if that's true or not."
264,Have you ever invented a fairly unique meal or drink?,I have not.
267,Are you good at keeping secrets?,I'm pretty good at keeping secrets.
268,Have you ever been up in a hot air balloon?,I have not.
269,Whats your favourite Sci-fi film/program etc?,I'm pretty sure that's what it's called.
270,When playing checkers or chess do you prefer to be black or white?,I don't want to be black or white.
272,Do you prefer shopping on the high street or online?,I prefer shopping on the high street.
273,Would you ever want to learn to fly?,I don't want to learn to fly.
274,Do you often read your horoscope?,I don't know what you're talking about.
275,Have you ever had a proper Tarot reading?,I have not.
277,Have you ever milked a cow?,I have not.
278,"Have you ever used the phrase ""back in my time"" to someone younger than you?",I've never heard of that.
279,Do you love or hate rollercoasters?,I don't know why you're being down voted.
283,Do you buy any weekly/monthly magazines?,"I'm not sure if you're joking, but I don't think it's worth it."
284,Who's your favourite Superhero?,I'm pretty sure that's what I was thinking.
289,When pulling crackers does everyone get one each regardless or whoever gets the big ends keeps all the prizes,"I don't know why you're being downvoted, but I'm not saying it's a good thing."
290,Do you ever make your own greetings cards,"I don't know what you're talking about, but I don't know what you're talking about."
291,Do you have a swiss army knife?,Yes.
292,At what age did you twig onto the fact Santa wasnt real?,2015
294,"Have you ever done something really unbelivable, only to have no one around to see it?","I've never done it, but I've never done it before."
295,Do you buy from charity shops?,I don't think I've ever heard of that.
296,Have you ever sold your services?,I have not.
297,Have you ever raised money for charity?,I have not.
298,Have you ever won a giant sized cuddly toy from a fair?,I have not.
299,Is the glass half full or half empty?,It's the glass half full.
300,Is the grass greener on the other side?,Yes.
301,If a tree falls in the forest and there's no one around to hear it does it make a noise?,That's what I was thinking.
302,Why does it always rain on me?,Because it's raining on me.
303,Have you ever sailed a boat?,"No, I have not."
304,Do you love or loathe Harry Potter?,I don't know what you're talking about.
305,Do you do your utmost for the environment?,I do.
307,Have you ever weilded a sword?,I have not.
308,If you were famous would you want a statue or a building names after you?,That's what I was thinking.
314,"If you were in a band, what instrument/role would you play?",What instruments?
315,Can you erect a tent?,I can't.
316,Do you suck or bite lollipops?,I don't know what you're talking about.
317,Have you ever used the yellow pages?,I have not.
319,Do you still have any music on vinyl or casettes?,I don't know what you're talking about.
321,Approximately how many DVD's do you have?,I've never heard of that one.
323,Do you talk to yourself?,I don't talk to myself.
324,Do you sing to yourself?,Yes.
325,Do you know any identical twins?,Yes.
326,Have you ever given blood?,I've never given blood.
327,Could you ever be a medical guineapig?,That's what I was thinking.
331,Have you ever written a love letter?,I've never written a letter.
332,How many valentines cards did you recieve this/last year?,1000000000000000000000000000
334,Have you ever made your own ice lollies?,"No, I have not."
335,Have you ever made your own Ice cream?,I have not.
337,and do you still remember enough to hold a conversation in that language?,That's what I was thinking.
338,Do you know CPR?,Yes.
340,Do you prefer digital or rotary/analogue clocks?,I don't know what you're talking about.
341,How tall is the tallest person you know?,He's taller than Tess Munster.
342,Have you ever got lost in a maze?,I have not.
343,Have you ever been attacked by a wild animal?,I have not.
344,Have you ever ridden a camel?,I've never ridden a camel.
346,Have you ever been to a gym?,I have not.
347,Have you ever been in a helicopter?,"No, I have not."
348,Have you ever cheated at a test?,I have not.
349,Have you ever ridden a tractor?,"No, I have not."
351,Have you ever cried at a film?,I haven't.
352,When you're ill do you struggle on regardless or just curl up in bed as much as possible?,"I don't know what you're talking about, but I don't know what you're talking about."
354,Do you keep a diary/journal?,I don't know what you're talking about.
355,Are you scared of thunderstorms?,I'm afraid of rain.
356,Do you have any unusual fears or phobias?,I don't think I've ever heard of that.
358,Have you ever slept in a caravan?,I have not.
359,Have you ever painted a house?,"No, I've never done that."
360,Have you got green fingers?,I have not.
362,Have you ever dialed the talking clock?,I have not.
363,Do you always wear identical socks?,Yes.
364,Do you live by any motto or philosophy?,I don't think so.
365,Do you lick the yoghurt or desert lid?,I don't know what you're talking about.
366,Do you lick the spoon clean after making something sweet?,Yes.
367,Do you like the sound of music? (the musical/film),I like the sound of it.
368,Have you ever made your own orangejuice?,No I have not.
369,Have you ever sucked on a lemon?,I have not.
370,Have you ever licked a battery?,I have not.
371,Are you a good aim with a rubber band?,I don't know why you're being down voted.
372,Have you ever played golf?,I have not.
373,Whats the most unusual name you've ever come across?,I've never heard of it.
374,Do you prefer to wash in the mornings or evenings?,I don't want to wash in the mornings.
375,Have you ever danced in the rain?,That's what I was thinking.
376,Do you like long or short hair?,I like long hair.
377,Have you ever sworn at an authority figure?,No I have not.
378,Have you ever walked into a wall?,I have not.
381,Could you ever hunt your own meal?,"I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
382,Have you ever read any comics?,I haven't.
384,Do you prefer vertical or horizontal stripes?,I prefer vertical stripes.
385,Have you ever baked your own bread?,I have not.
386,Can you believe I can't believe its not butter is in fact not actually butter?,"It's not butter, it's butter."
387,Can you name all 50 American states?,"Not sure if you're joking, but I'm not sure if you're being sarcastic or not."
388,Have you ever owned a goldfish?,I have not.
389,What was your favourite school subject?,I'm pretty sure that's what you're referring to.
390,What was your least favourite school subject?,It was my least favorite.
391,Have you ever passed wind in an embarassing situation?,"No, I'm not."
392,Have you ever played the bongos?,I have not.
393,Have you ever handled a snake?,I have not.
394,Have you ever assembled furniture by yourself?,"No, I have not."
395,When did you last go to the beach?,I'm not going to go to the beach.
396,When if ever did you last go to london?,"I'm not going to go to London, but I'm not going to go to London."
398,Whats the most unusual thing you've ever eaten?,It's the most unusual thing I've ever eaten.
400,Do you know any self defence or martial arts?,I don't know what you're talking about.
402,Have you ever ridden a motorcycle?,I've never ridden a motorcycle.
403,Do you collect anything?,No I don't.
404,Is there anything you wished would come back into fashion?,I don't think so.
406,Have you ever given someone a handmade present?,"No, I have not."
407,Are you introvert or extrovert?,I'm an introvert.
408,If you could have any feature from an animal what would you want?,That's what I was thinking.
410,Have you ever been scuba diving?,I have not.
411,Have you ever had a disasterous interview?,I have not.
413,Which of the 5 senses would you say is your strongest?,That's what I was thinking.
414,What colour are your eyes?,"I'm not sure what color blindness is, but I don't know what color it is."
415,Have you ever been to an Art gallery?,I have not.
417,Are you a valuable asset on a Pub Quiz team?,"No, I'm not a valuable asset."
418,Have you ever won any kind of quiz yourself?,I don't think I've ever done that.
419,Do you get over-involved with TV or movie plots at times?,I don't think that's what you're talking about.
420,Do you own any inflatable furniture?,"No, I don't own any furniture."
421,Whats the highest hill or mountain you've ever climbed?,I've never heard of that.
422,Do you have a piggy bank?,No I don't.
423,Whats the fastest you've ever travelled in a car?,"I don't know what you're talking about, but I've never been in a car."
425,Do you have popcorn with a movie?,I don't think so.
427,Have you ever built an igloo?,I have not.
429,Have you ever made a ball of twine or rubberbands?,I have not.
430,If given the option of having a flake in your ice cream do you always take it?,I'll take it.
431,Could you ever be a living organ donor?,That's what I was thinking.
432,"Which was your favourite science? Biology, Physics or Chemistry?",Physics.
433,Could you ever go out with someone just cause they're rich?,That's what I was thinking.
434,Have you ever contemplated sueing someone?,I have not.
435,Are you pretty devious?,I'm pretty sure that's what I was thinking.
436,Have you ever had a surprise party? (that was an actual surprise),I've never had a surprise party party party party.
437,Are you any good at giving massages?,I don't know what you're talking about.
438,Whats been your worst date ever?,I don't know what you're talking about.
439,Have you ever slapped somoene in public?,I have not.
440,Have you ever drawn on a sleeping or inebriated person?,"I've been on a bed for a while, but I'm not sure if I've ever done that."
441,Have you ever warn clothing with the labels/tags still attached?,I don't know why you're being down voted.
442,Have you ever slipped on a banana skin?,I have not.
443,Are you scared of the dark?,"No, I'm scared."
445,Have you ever been wolf whistled in public?,I have not.
446,Whats the worst chatup line you've heard?,"I don't know why you're being downvoted, it's a joke."
447,Have you ever been water skiing?,"No, I have not."
448,Have you ever hopelessly failed a test?,I've never done a test test.
449,"If you had a year off, what would you want to do?",I'd rather have a year off.
450,How many sms/txt messages do you recieve on average a day?,"I don't know what you're talking about, but I'm not sure if you're being sarcastic or not."
451,How long did you last phone call last?,It's been a while since I've had a phone call.
452,Do you go to car boot sales?,No I don't think I've ever done that.
453,"If you saw someone drop a Â£10 note, would you claim it for your own or try to return it to them?","I'm not sure if you're being sarcastic or not, but I don't think it's worth it."
454,Have you ever helped someone across the road?,"No, I have not."
455,Have you ever been horseriding?,I have not.
456,Have you ever walked a tightrope?,No I have not.
457,Have you ever demolished a wall or building?,I have not.
458,If you and a friend both wanted the same thing would you let the friend get it first?,"I'm not a friend, but I don't think it's possible to get it first."
459,Have you ever argued over who should pay for something?,"No, I have not."
460,Do you have any family heirlooms?,No I don't.
461,Are you related or distantly related to anyone famous?,I don't know why you're being down voted.
463,Do you correct peoples mistakes?,No I don't.
464,Have you ever helped out an injured animal?,I've never heard of that.
465,Do you throw bread for the ducks?,Yes.
466,Do you think babies are little bundles of joy or smelly noisey things?,I don't think so.
467,Do you give money to buskers?,"No, I don't give money."
468,Have you ever tossed your own pancake?,I have not.
469,Are you any good at egg and spoon races?,I don't know what you're talking about.
470,Are you allergic to anything?,"No, I'm not allergic to anything."
471,Are you ticklish?,No I'm not.
472,"Do you prefer tea,coffee or cocoa?",I prefer tea.
474,Do you buy people presents to bring back when you go on holiday?,I don't think I've ever heard of that.
475,Are you tired of answering questions yet?,I don't know what you're talking about.
476,Have you ever been wheelbarrow racing?,I haven't ridden in a long time.
477,Do you ever forward or reply to chain mails?,I don't know why you're being down voted.
478,Do you often have a tune in your head you can't name?,I don't know what you're talking about.
479,Has anyone ever approached you thinking you were someone else?,I've never met anyone else.
480,Have you ever been approached by someone who knew you but you couldn't remember them for the life of you?,That's what I was thinking.
481,What do you do to keep fit?,"I don't know what to do, but I don't know what to do."
482,Are you the sort to step in and try to break up a fight?,I don't think I've ever tried to break up a fight.
483,Have you ever been in a fight?,I have not.
484,Have you ever started a rumour?,I have not.
485,Have you ever heard any outstanding rumours about yourself?,I've never heard of that.
486,Have you ever been in or had a food fight?,I've never had a food fight.
487,When its your birthday do you always wear an age badge?,"I don't know why you're being downvoted, but I'm not sure if it's true or not."
488,Have you ever starred in an amateur or professional video?,I have not.
489,If you were comfortbly rich would you work hard for more or rest on your laurels?,If I were rich I would work hard for you.
490,Have you ever been in a position of authority?,I have not.
492,Have you ever tried to make your own alcohol?,That's what I was thinking.
494,And what title would you give yourself?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing."
495,If you invented a monster what would you call it?,I'd call it a monster.
496,And what features would it have?,That's what I was thinking.
497,Have you ever had a dream you chased only to be let down when you achived it?,I've never had a dream.
498,Is there anything about the opposite sex you just don't understand or comprehend?,I don't understand what you're saying.
499,Who was your favourite teacher at school and why?,I'm pretty sure that's what you're referring to.
501,Is it acceptable or unacceptable to smack a child as form of disapline?,Yes.
502,Can a hetrosexual male ever wear pink?,Can confirm.
503,Is it criminal to wear socks with sandals?,Yes.
504,"If you were captain of a ship, what would you call it?",I am captain of the ship.
505,If you were to join an emergency service which would it be?,That's what I was thinking.
506,If you were to join one of the armed forced which would it be?,That's what I was thinking.
507,Whats the worst thing about being your gender?,"I don't know what you're talking about, but I'm not the only one."
508,Whats the best thing about being your gender?,I don't know what you're talking about.
509,If you swapped genders for a day how would you spend it?,That's what I was thinking.
510,If you were exiled what country would you choose as your new home?,I'm not sure if you're being sarcastic or not.
511,Have you ever made someone cry?,No I'm not.
512,Have you ever starred in a school play?,I have not.
513,Were you a member of any celebrity fanclub?,That's what I was thinking.
514,Have you ever been a member of any other club?,No I haven't.
515,If you could have a full scholarship to any university what would you choose to study?,That's what I was thinking.
516,Whats been your greatest ever day?,It's been a while since I've seen it.
517,What historical period would you like to live in if you could go back in time?,That's what I was thinking. I've never heard of that before.
518,What would you bring along to an idillic picnic?,That's what I was thinking.
520,What movie ending really frustrated you? And how would you change it?,"I don't think it's a good ending, but it's a good movie."
521,What three things do you think of most each day?,I don't know what you're talking about.
522,What do you call your evening meal? Dinner Tea or Supper?,"I don't know why you're being down voted, it's a good idea."
524,"If you had a warning label, what would yours say?",I don't know what you're talking about.
525,Have you ever got sweet revenge on anyone?,"No, I'm not."
526,Have you ever been to a live concert?,I have not.
527,Have you ever been to see stand up comedy?,I've never seen it.
528,Have you ever needed stitches?,I have not.
529,If you could invent brand new baby names what would they be?,That's what I was thinking.
534,"If you were a fashion designer, what style of clothing or accessories would you design?","I'm not a graphic designer, but I don't think that's what you're looking for."
535,Do you ever laugh at things you shouldn't?,No I don't.
536,Have you ever been in a submarine?,I have not.
537,Have you ever walked out of a cinema before the film was done?,"I haven't, but I've never seen that movie before."
538,What song would you say best sums you up?,I don't know what you're talking about.
539,Do you have any old friends wou wish you could meet up with again?,"I don't know, but I'm not sure if that's true or not."
541,Do you prefer metric or imperial measurements?,I prefer imperial.
542,Who's your favourite monarch of all time?,I'm not sure if you're being sarcastic or not.
545,If you could choose one celebrity to be the father/mother of your child who would it be?,That's what I was thinking.
546,What would you do if someone proposed to you tomorrow?,I'll PM you.
548,How high can you jump?,I don't know why you're being down voted.
549,Which fictional character do you wish was real?,I don't know why you're being down voted.
550,Who was your first crush?,My first crush.
553,"Do you believe in destiny, fate or free will?",I don't believe in you.
554,If you could talk to one species of animal which would it be?,That's what I was thinking.
555,If you had friends round what DVD's would you have to watch?,That's what I was thinking.
556,Do you like vanilla or chocolate?,I don't like chocolate.
558,Do you have any enemies?,No I don't.
559,Are you scared of needles?,I'm not scared of needles.
560,How many piercings do you have? if any,"I'm not a huge fan of them, but I've never heard of them."
561,Have you ever got majorly lost trying to get somewhere?,I've never heard of that.
562,How fast can you say the alphabet?,That's what I was thinking.
564,What was the last thing to make you feel happy?,"I don't know what you're talking about, but I'm not happy with it."
565,What was the last thing to make you feel angry?,That's what I was thinking.
566,You are walking to work. There is a dog drowning in the canal on the side of the street. Your boss told you if you are late one more time you're fired. Do you save the dog?,I don't know why you're being down voted.
567,Are you the kind of friend you'd want to have as a friend yourself?,"I'm not your friend, friend."
568,Do you have any questions or queries about things you're just to scared or embarassed to ask anyone about?,"I don't have any questions, but I'm sure I'll do it."
569,If you were a wrestler what would your stage name be?,That's what I was thinking.
572,Do you think Barbie is a negative role model for young girls?,I don't think so.
573,Have you ever needed an eye test?,I have not.
575,Can you roll your R's?,You can't roll your R's.
576,What social class do you consider yourself or your family background to be in?,"I don't know, I'm a social class."
578,Whats the largest amount of money you've ever won?,It's the largest amount of money I've ever won.
579,Whats the largest amount of money you've spent in one spree?,It's the largest amount of money I've spent in my life.
580,Whats the largest amount of money you've had to borrow off of a friend or family member,"I'm not sure if you're being sarcastic or not, but I'm not sure if that's true or not."
581,Have you ever been on a cable car?,I have not.
582,Do you prefer Honey or Jam?,"I don't know what you're talking about, but I've never heard of it."
583,Do you prefer the French or Germans?,I prefer the French.
584,How fast can you get changed?,"I don't know why you're being down voted, I'm just saying it's a good idea."
585,How fast do you type?,I don't know how fast it is.
586,How fast can you run?,"I've been running around for a long time now, so I'm not sure if I'll be able to do it again."
587,"Which is better, Mario or Sonic?",I'm pretty sure that's what he meant.
589,"Which would you rather have if you had to, a broken leg or a broken arm?",I'd rather have a broken leg than a broken leg.
590,Do you read a daily newspaper?,I don't think I read a daily newspaper.
591,Do you watch the news on TV?,I don't know why you're being down voted.
592,Have you ever had anything published?,I have not.
593,Do you believe in love at first sight?,I believe in you.
594,How many remote controls do you have in your house?,"I don't know, but I'm not sure if that's what you're referring to."
595,Have you ever been in a hot tub or sauna?,I have not.
596,Have you ever had chicken pox?,I've never had chicken pox.
597,Do you own a lava lamp?,Yes.
598,Are you glad these are almost over?,I'm pretty sure they are.
601,Whats been the best descision you've made in your life so far?,It's been a while since I've done it.
602,Whats been the worst descision you've made in your life so far?,"I don't know why you're being downvoted, but I'm not saying it's a bad thing, it's just a matter of time."
603,What words do you always struggle to spell correctly?,I don't know how to spell correctly.
604,On a scale of 1-10 how happy would you say you are?,I'm pretty sure that's what he meant.
605,On a scale of 1-10 how smart would you say you are?,I'm not a smart man.
606,On a scale of 1-10 how funny would you say you are?,I'm pretty sure that's the joke.
607,On a scale of 1-10 how devious would you say you are?,That's what I was thinking.
608,On a scale of 1-10 how awesome would you say you are?,I'm pretty sure that's what you're referring to.
609,On a scale of 1-10 how devilsh would you say you are?,That's what I was thinking.
610,On a scale of 1-10 how nice/caring would you say you are?,"I don't know what you're talking about, but I'm pretty sure that's what I'm saying."
611,On a scale of 1-10 how bitchy would you say you are?,I don't think that's bitchy.
612,On a scale of 1-10 how polite would you say you are?,I'm pretty sure that's what he meant.
613,On a scale of 1-10 how attractive would you say you are?,I don't think that's true.
614,If you could be any famous person who would you be and why?,I'd be happy if I could.
622,Whats your favourite musical instrument beginning with the letter H?,"I don't know what you're talking about, but I'm pretty sure it's a good thing."
623,Whats your favourite song beginning with the letter I?,I'm pretty sure it's a good song.
624,Whats your favourite actress beginning with the letter J?,I don't know why you're being down voted.
629,Whats your favourite non alcoholic drink beginning with the letter O?,That's what I was thinking.
631,Whats your favourite band beginning with the letter Q?,I don't know why you're being down voted.
632,Whats your favourite author beginning with the letter R?,I don't know why you're being down voted. It's a good read.
634,Whats your favourite job beginning with the letter T?,I don't know what you're talking about.
636,Whats your favourite alcoholic drink beginning with the letter V?,"I don't know what you're talking about, but I'm pretty sure that's what it's called."
638,Whats your favourite word beginning with the letter X?,That's what I was thinking.
641,Do you get seasick?,I don't get it.
642,If you discovered a new species of dinosaur what would you call it?,I don't know what you're talking about.
644,What do you consider is the most important piece of furniture in a house?,It's the most important piece of furniture I've ever seen.
646,If you could have any celebritys hair whos would it be?,"I'm not sure if you're being sarcastic or not, but I don't think that's true."
648,What potential talents do you think you might have if you worked at them?,I don't think I would have worked at them.
